"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C5","4.7u","~","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","2",""
"C2","22u","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","1",""
"C3","1.5n","~","Capacitor_THT:C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","1",""
"C4","100n","~","Capacitor_THT:C_Rect_L7.2mm_W2.5mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","1",""
"C6","3.3n","~","Capacitor_THT:C_Rect_L7.2mm_W7.2mm_P5.00mm_FKS2_FKP2_MKS2_MKP2","1",""
"D1","Red_LED","~","LED_THT:LED_D5.0mm","1",""
"D2","Orange_LED","~","LED_THT:LED_D5.0mm","1",""
"D3","Green_LED","~","LED_THT:LED_D5.0mm","1",""
"D4","Power_Red_LED","~","LED_THT:LED_D5.0mm","1",""
"J1","Conn_01x03_Socket","~","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Horizontal","1",""
"J2","Power","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","1",""
"J3","Analog","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","1",""
"J4,J5","Digital/PWM","","-- mixed values --","2",""
"OP1,OP2","OPA340P","http://www.ti.com/lit/ds/symlink/opa340.pdf","Package_DIP:DIP-8_W7.62mm","2",""
"R1,R2","10k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"R3","2.2k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R4","220K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R5","33.33k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R6","100K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R7","100","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R8,R9,R10,R11","1k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","4",""
"SW1","SW_Push","~","Button_Switch_THT:SW_PUSH_6mm","1",""
"TP1","IP1","~","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","1",""
"TP2","CM_IP","~","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","1",""
"TP3","OP_1","~","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","1",""
"TP4","GND1","~","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","1",""
"TP5","GND2","~","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","1",""
"TP6","OP_2","~","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","1",""
"TP7","GND3","~","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical","1",""
